square,Cong00,Cong01,Cong02,Cong03,Cong04,Cong05,Cong06,Cong07,Cong08,Cong09,Cong10,Cong11,Cong12,Cong13,Cong14,Cong15,Cong16,Cong17,Cong18,Cong19,Cong20,Cong21,Cong22,Cong23
"1,1",0.0476062,0.0480961129,0.0481884852,0.0482224599,0.0481185466,0.0480680913,0.0480680913,0.0475168079,0.0474731177,0.047452081,0.0480502844,0.0475702882,0.0488904789,0.0478537306,0.0483549312,0.0475640148,0.0484307706,0.0477099791,0.047473155,0.0482962057,0.0478745028,0.0476464704,0.0476493016,0.0476203449
"1,2",0.0240056999,0.0243334267,0.0261483714,0.0249391794,0.0248200558,0.0224608891,0.0219142903,0.0224171579,0.0237091277,0.0246421099,0.0245439447,0.0246371515,0.0252952278,0.0242470633,0.0240905173,0.0238891914,0.0238158815,0.0244907662,0.0254129134,0.0262972862,0.0264704712,0.024740031,0.0243026409,0.0244132187
"1,3",0.071233876,0.0767947137,0.0896847174,0.0808787644,0.0771823376,0.0546614863,0.0482216179,0.0537869595,0.0661298037,0.0716055334,0.0758262798,0.0777613968,0.0751193017,0.0683190301,0.0654648393,0.0631092414,0.0658946261,0.0698129833,0.077823326,0.0897504091,0.0887617618,0.073283501,0.0694498122,0.0696637481
"1,4",0.1158553213,0.1173140854,0.1228094473,0.1218389422,0.1170259714,0.1027244106,0.1036499739,0.1115204468,0.1191113442,0.1225573197,0.1249625981,0.1279124618,0.1268121302,0.1242780685,0.1191514209,0.1175404415,0.1221285984,0.1264274865,0.1345003396,0.14533481,0.1407814771,0.125292182,0.1176889166,0.1154296994
"1,5",0.0379160233,0.0334639661,0.0396766774,0.0404250324,0.0353070945,0.0276779179,0.0303892791,0.0375133753,0.0419595465,0.043144837,0.0434528403,0.0454672948,0.048505649,0.0473717749,0.0439626947,0.0415762067,0.0455769747,0.049566593,0.056257613,0.0620484799,0.0582629368,0.0483367518,0.0411688238,0.0391650163
"1,6",0.0461543836,0.0432688147,0.0474825799,0.0461200625,0.0497599617,0.0432443097,0.0433066823,0.043898955,0.0475704521,0.0480760038,0.0485674068,0.0481203571,0.0502726622,0.0511627905,0.0493729003,0.0469379053,0.0468264371,0.046708934,0.0496201999,0.0564099401,0.0529365987,0.0481003523,0.0443855971,0.0456848368
"1,7",0.0480899662,0.043380931,0.0512116179,0.0483870134,0.061742682,0.048435919,0.0365475044,0.0396968648,0.0505255386,0.0466621071,0.04888466,0.0477990136,0.0495555736,0.0507058278,0.0469392836,0.044536192,0.0459406078,0.0447879061,0.0486119539,0.0613278151,0.0572892874,0.0478751063,0.0413762778,0.0458525047
"1,8",0.0400886983,0.0388190001,0.041331131,0.0414228961,0.0474098921,0.0368180424,0.0331217051,0.0369705744,0.0405916944,0.0398023501,0.0404096916,0.0399872065,0.0445566028,0.0421134047,0.0400006473,0.0414838009,0.0411180779,0.0421070307,0.0446775779,0.0515858233,0.0457426608,0.0407811776,0.0384143218,0.03981141
"2,1",0.0488108248,0.0485299453,0.0486066043,0.0486243293,0.0487056971,0.0486344025,0.0486344025,0.0482151397,0.0481593981,0.048180148,0.0487826914,0.0483933613,0.0494456775,0.0487888716,0.0495162494,0.048710756,0.0491531305,0.048597265,0.0483873785,0.0492054336,0.0496317074,0.0488329083,0.0487106144,0.0486749634
"2,2",0.0190240946,0.0176192448,0.0182778612,0.0181110613,0.0175354555,0.0164195113,0.0160954483,0.0173159856,0.0190998148,0.019481156,0.0188244879,0.0196795277,0.0218493454,0.0221334621,0.021249393,0.0208167601,0.0205281451,0.0211023428,0.022045657,0.022335615,0.0224343184,0.0206401795,0.0187185947,0.0189153031
"2,3",0.0857674032,0.090550065,0.1031799093,0.0908269286,0.0813349187,0.0642698184,0.0685704947,0.1044899523,0.1513759792,0.1729340702,0.1950178593,0.1979543865,0.1969721317,0.1754069477,0.1576617062,0.1459260285,0.1524910182,0.1748800278,0.1964219213,0.1947833598,0.1803128868,0.1266871691,0.0921266526,0.0835365504
"2,4",0.1149010062,0.1216795221,0.1488057971,0.1446198374,0.1210272014,0.0877493992,0.0900280625,0.1370924711,0.1998218894,0.2276791781,0.2510885,0.2603574693,0.2607590258,0.2419349104,0.2219328433,0.2045261562,0.2214544863,0.2553755343,0.2952291369,0.2931163907,0.2746821642,0.1960679591,0.1403199881,0.1173772737
"2,5",0.068713218,0.0725157559,0.087995097,0.0922864154,0.0808137879,0.0788383037,0.1093291491,0.1448641419,0.156993717,0.1601291299,0.1683835983,0.1724731326,0.1685416251,0.1606400311,0.1457878947,0.1388419867,0.1513337195,0.1737282872,0.2010968924,0.2217393816,0.1884676516,0.1417077035,0.0972687751,0.0769410506
"2,6",0.053004086,0.0501286313,0.0587071702,0.0584281608,0.0615515634,0.0544569716,0.056613788,0.0623317733,0.0703998357,0.0723811537,0.0748490095,0.0753276646,0.0775713027,0.0750981197,0.0721950084,0.0682448521,0.0706602335,0.073484078,0.0793742985,0.0882494748,0.079152517,0.0661216751,0.0543948859,0.0527181141
"2,7",0.1052116156,0.0934004188,0.118975848,0.1270945221,0.1345655024,0.1002963185,0.0961497277,0.1166180074,0.1584944576,0.1707240939,0.1733180881,0.1831633747,0.1780640185,0.1734604239,0.1680877507,0.1550507396,0.1475131959,0.1572434604,0.1935087293,0.2292279154,0.2067897916,0.1512893438,0.1165480763,0.1046084687
"2,8",0.0848266855,0.0883620232,0.0925328732,0.099763222,0.0979260355,0.0802532434,0.0606918633,0.079267025,0.1220696419,0.1336491406,0.1316326261,0.1517933607,0.1457292438,0.138815701,0.1416506767,0.127274096,0.1149658263,0.1241419464,0.1550318599,0.1741932333,0.1551628113,0.1231991202,0.1021394134,0.0908438414
"3,1",0.0344738737,0.0362768397,0.0372348316,0.0376863368,0.0365544036,0.0359653607,0.0333426893,0.0361032672,0.0395299383,0.0424213633,0.0433478951,0.0440457575,0.0443524942,0.0429970659,0.0421826579,0.041209437,0.0426163115,0.0447424464,0.0466840938,0.047581844,0.0437814295,0.0375608131,0.0351109989,0.0337149426
"3,2",0.0561474003,0.0617729202,0.0659927428,0.0688509941,0.0644387007,0.0592503324,0.0556903183,0.0610020459,0.071528174,0.0831415206,0.0938992873,0.0984166712,0.099108018,0.093379885,0.0886189342,0.0831282139,0.0855571106,0.0926763713,0.0995819122,0.102265656,0.0919401199,0.0704588145,0.0558538437,0.0524722934
"3,3",0.0920460001,0.1067124903,0.124249801,0.1253941953,0.1020212173,0.0891140848,0.0868681893,0.1386836767,0.196220547,0.2364262044,0.2747190595,0.2901589572,0.3013049662,0.2831883132,0.2566710114,0.2399114668,0.2471558154,0.26936239,0.3159127831,0.3209338784,0.3039941192,0.2183045745,0.1352808177,0.0996667519
"3,4",0.087542668,0.0940239877,0.1135002077,0.1137619615,0.0952787995,0.079862237,0.0943775773,0.1533483863,0.2264462113,0.279289186,0.3099133372,0.3257995844,0.3460707068,0.3304420412,0.297688961,0.2757768035,0.2890453339,0.3145598769,0.3672376871,0.3836598992,0.3588384092,0.2660440803,0.1667031944,0.1106201261
"3,5",0.0832509249,0.0839749724,0.098558493,0.1107792258,0.0900289863,0.0995624065,0.1384833604,0.1945708245,0.2245941162,0.2423370034,0.2566350698,0.2676699162,0.2657790184,0.2475720048,0.2261262089,0.2129108459,0.2251414359,0.2578681409,0.2928013206,0.3237164617,0.2897810936,0.2257653177,0.1521149129,0.1054783911
"3,6",0.0801087469,0.079648532,0.0870810822,0.0898698419,0.0786053985,0.0849511325,0.1231361181,0.177924782,0.2516852915,0.2752507329,0.2608104348,0.2554633021,0.2370415032,0.2217755616,0.207699582,0.1932092607,0.2104189694,0.2675476372,0.3383142352,0.3827236593,0.3177070022,0.2195969969,0.147539869,0.1030486971
"3,7",0.1165911704,0.1083662361,0.1277123392,0.1330057979,0.1240425855,0.1014225334,0.1053397283,0.150339663,0.2232978642,0.2601009607,0.2425286621,0.2732747793,0.2602031529,0.2499406785,0.2455585897,0.2297402173,0.2159988582,0.2503261566,0.332087934,0.3812843859,0.3436823487,0.2305714488,0.1706215143,0.1286735982
"3,8",0.189800486,0.1777789444,0.1951931417,0.2072122991,0.1666872501,0.1264769584,0.1137343794,0.1669125557,0.300934732,0.3777783513,0.3333652616,0.4047805965,0.3917399049,0.3624188304,0.3717321157,0.3512093723,0.2944110632,0.3637340665,0.5351135135,0.5973476171,0.5516039133,0.3831896782,0.297606349,0.2266525477
"4,1",0.0650059879,0.0759347081,0.0845870599,0.0867952481,0.080995217,0.075521335,0.0604099035,0.0748078078,0.098099649,0.1122203767,0.1157143265,0.1167903692,0.1200206429,0.1143037304,0.1112125665,0.1054851115,0.1133960485,0.1225194037,0.1349101663,0.143290177,0.1215013117,0.0957756788,0.0799738243,0.0750709623
"4,2",0.0855448395,0.0953813046,0.1048251092,0.1096655279,0.1005920246,0.0903056711,0.0769607723,0.0904885381,0.1198441088,0.1472147703,0.16649279,0.1716024876,0.1750696003,0.1632514,0.1546951085,0.1463222504,0.1530478448,0.165072009,0.1788330972,0.1846370399,0.1688713431,0.1289861351,0.0987263024,0.0871526226
"4,3",0.1342372,0.1436271816,0.148775503,0.1529380679,0.1411300004,0.1451415718,0.1639508009,0.2010834515,0.2563649118,0.3143213093,0.3457211852,0.3701242805,0.3768638372,0.359708339,0.3405387402,0.3240505457,0.322236836,0.3352430463,0.3707651496,0.4076778889,0.3869685829,0.3133514524,0.2181510925,0.1547466367
"4,4",0.1196310818,0.1017617583,0.1137150824,0.1247384697,0.1089481637,0.1000111103,0.1468843818,0.282427609,0.4241130948,0.5515384674,0.5987635255,0.6859150529,0.7362453938,0.6931142211,0.6092056036,0.5749956369,0.5721142292,0.5721144676,0.6355905533,0.7251677513,0.7016339302,0.5949641466,0.3783072233,0.2172148526
"4,5",0.0980656296,0.0737421364,0.0679396093,0.0661113709,0.0697707534,0.075321883,0.1361076832,0.2931178212,0.4610656798,0.4972848296,0.4362475872,0.4383605719,0.4078181386,0.3841248155,0.3863164783,0.353351593,0.3495622277,0.408393234,0.5685286522,0.6548330784,0.5844470263,0.4314674437,0.2934057713,0.171946317
"4,6",0.131302461,0.1038497388,0.103603512,0.093720898,0.0786900371,0.0666260794,0.0862227678,0.176264599,0.4659782052,0.6350255609,0.4622292519,0.424798131,0.3320627809,0.267125845,0.2580138743,0.2343757898,0.2649280131,0.3691808879,0.5438833237,0.5667467117,0.4688584208,0.3493102491,0.3002820015,0.2161166072
"4,7",0.2244415581,0.1912318021,0.1896224916,0.1727539897,0.1329636276,0.0852524787,0.0741210282,0.1476802528,0.3648117483,0.5787210464,0.4760969877,0.4440911412,0.3646816313,0.3241693377,0.323530972,0.3341192603,0.3645282984,0.5865017176,0.8375864625,0.7880172729,0.6430025101,0.4492512345,0.3568771482,0.2516493797
"4,8",0.2549388111,0.2237718999,0.2227040827,0.2250637859,0.1843696237,0.1179879457,0.1068714857,0.1756564081,0.3331511915,0.5011390448,0.4406445622,0.4473060369,0.4193912446,0.3912979364,0.3899663091,0.3983945251,0.4181212485,0.586633563,0.8075911999,0.7861584425,0.6689296961,0.4780994058,0.3706752658,0.2782200575
"5,1",0.091878213,0.1018929631,0.1205918044,0.1324394345,0.1124415994,0.0850679874,0.0717418045,0.1013027281,0.157466501,0.18073304,0.1900423616,0.1978124976,0.1928899586,0.1873472035,0.1785465181,0.1710662991,0.1846952587,0.2010185421,0.2329371423,0.2522534728,0.2280281782,0.1952743828,0.1521267891,0.1434087753
"5,2",0.1140196621,0.0937019438,0.1011156291,0.1138394326,0.1012669504,0.0712114275,0.0653643385,0.0961486995,0.1492535174,0.1935209334,0.2051905394,0.2280370593,0.2270287126,0.2166651189,0.2016993761,0.2016347647,0.1977558136,0.2036691159,0.2377075851,0.2765938342,0.3103475273,0.3645735979,0.239406541,0.1786447465
"5,3",0.1670290828,0.1077703163,0.0993995517,0.1104037911,0.1143284291,0.1047140211,0.1251505911,0.2026003301,0.3029116988,0.427171737,0.4672288001,0.577226162,0.5932215452,0.5470893383,0.5000575185,0.4842602611,0.4607958794,0.436740458,0.5120274425,0.6035408974,0.6529243588,0.6320149302,0.4176349044,0.264385283
"5,4",0.1454472244,0.1130759418,0.0988043845,0.0996594578,0.0990522057,0.0798982084,0.1286252439,0.311113596,0.4782470465,0.6329489946,0.6782716513,0.8133200407,0.8714895248,0.8187555075,0.7423142195,0.7203121781,0.6710954905,0.6521434784,0.7276019454,0.8487799764,0.8488202095,0.714410603,0.4821576476,0.2845125794
"5,5",0.1598326564,0.1091933399,0.0976019055,0.0964119583,0.1072526276,0.0722226128,0.0984516367,0.3400316238,0.9225242138,1.0262466669,0.8102641106,0.8741941452,0.9279626608,0.8516972065,0.8357821703,0.6419378519,0.5880471468,0.7473781109,0.93925035,1.037512064,0.9028636217,0.613432169,0.464279443,0.2891123295
"5,6",0.1705721319,0.121185109,0.1050197929,0.0998660326,0.0974032283,0.0788403824,0.0935576707,0.2642106414,0.8391539454,0.9929714203,0.7121896744,0.6964099407,0.6227992177,0.5636850595,0.5626437068,0.4588657916,0.4615598619,0.611274004,0.8305094838,0.8221239448,0.6683402061,0.46475932,0.4153161049,0.2764668465
"5,7",0.1866633296,0.1563393623,0.1429696828,0.1222715378,0.0976147205,0.0768563896,0.0884403437,0.2063085139,0.5616141558,0.881131351,0.6729149818,0.5955435038,0.4969092011,0.4272383451,0.4138546586,0.3933649659,0.4546006918,0.7019092441,0.9846204519,0.9134819508,0.7130128145,0.5296369791,0.3810541034,0.2626590729
"5,8",0.18393749,0.1667820215,0.1507534385,0.1238018423,0.1057629287,0.1098965257,0.1399117708,0.2453964651,0.4739533067,0.661822021,0.5803255439,0.5396645665,0.5053529739,0.4772137403,0.4676733613,0.4613569975,0.5181488395,0.6889196038,0.9546306133,0.944824338,0.758280158,0.497739166,0.3305425942,0.2196342796
"6,1",0.0753084943,0.076042667,0.0883806944,0.0907371044,0.0736315325,0.0574442148,0.0614587367,0.0891391933,0.1325550675,0.1555687785,0.1617561281,0.1748299003,0.1650884897,0.1552149504,0.1437872201,0.1423302591,0.1440803111,0.1529466212,0.176256448,0.1987727284,0.1993517578,0.1883646548,0.1379253268,0.1107663214
"6,2",0.0620313138,0.058492519,0.0665910989,0.0669338703,0.0579486713,0.0493977778,0.0536738634,0.075044401,0.1093143076,0.1375184208,0.1449322104,0.1607694328,0.156876117,0.1426739991,0.1291527599,0.12708278,0.1262175292,0.129645437,0.1536306441,0.1847886592,0.1962355375,0.1982376277,0.1278614253,0.0879235864
"6,3",0.1166542247,0.0813416094,0.0833068341,0.0823098719,0.0808125436,0.0711538047,0.1040943861,0.202966243,0.3028021455,0.4340558648,0.4779999256,0.589597702,0.6232869029,0.5670731664,0.522444725,0.5032418966,0.4759779572,0.466158241,0.5459079146,0.6148323417,0.6313495636,0.5599435568,0.3625789881,0.2084817588
"6,4",0.1543438435,0.1092163622,0.0921466351,0.0903952271,0.0885686055,0.0702270865,0.118511945,0.264772445,0.423620522,0.5776721835,0.6424759626,0.7271789312,0.7721273303,0.7092003822,0.6544573903,0.6140247583,0.6008501053,0.5986700058,0.6785582304,0.7551058531,0.7673090696,0.6131327748,0.447167486,0.2723101974
"6,5",0.1587322801,0.10758733,0.0903180093,0.0822065771,0.0956619531,0.0664904639,0.102121979,0.3298329413,0.8792263269,0.9457434416,0.8212602139,0.8991365433,1.0066423416,0.9493943453,0.9434287548,0.7305781841,0.6792174578,0.8431423903,1.0024554729,1.0671117306,0.9257721901,0.5943852067,0.4113253355,0.26122576
"6,6",0.1558548212,0.1027030796,0.0748663843,0.0621720068,0.0637103394,0.0647061765,0.1218615025,0.3630611598,0.7390168309,1.0454283953,0.9947676659,1.0391423702,1.0230789185,0.9992449284,0.9783189297,0.909986496,0.8946179152,1.0094496012,1.2438948154,1.2888424397,1.1282327175,0.8058620691,0.4860857725,0.2835592031
"6,7",0.1229062974,0.0829293281,0.0665448904,0.0586151332,0.0567835867,0.0737065002,0.1357643008,0.3409101963,0.6239248514,0.8191019297,0.7205510736,0.712521553,0.6854841709,0.6733517051,0.6407390237,0.6308819056,0.6646746397,0.7620226145,0.987534523,1.0235342979,0.8665770888,0.6309197545,0.3924515247,0.227789253
"6,8",0.1064522266,0.0959556401,0.085653089,0.0723202378,0.0749336928,0.12247096,0.1351567954,0.183606714,0.3849509358,0.4669640064,0.3905347884,0.3655076623,0.312961638,0.2912831903,0.2759665847,0.2810280919,0.2908454537,0.4185349941,0.5659424067,0.584580183,0.4675403535,0.3302257657,0.2183092088,0.1540893167
"7,1",0.0636054128,0.0698224902,0.0744069666,0.0711290091,0.0652072579,0.0632133558,0.0666494146,0.0774237365,0.0937978998,0.1037488729,0.1076422483,0.112628147,0.1039472893,0.0970930457,0.0920097083,0.0908224732,0.0915628299,0.0931519046,0.1001971364,0.1138058454,0.1165479422,0.1123215109,0.0883875564,0.0697065741
"7,2",0.0656506419,0.0691428259,0.0808781534,0.0745251253,0.0631319582,0.0592555404,0.0706264451,0.0984706804,0.140326947,0.1666194797,0.1718961746,0.1858443469,0.1762343645,0.1589599848,0.1515940726,0.1458535939,0.1455965191,0.1435990036,0.1557035595,0.1812734604,0.1879498065,0.1762540638,0.1285348386,0.0866214037
"7,3",0.110988684,0.0910916626,0.0963854566,0.0981698707,0.0873523504,0.0731623843,0.0874231979,0.1556734592,0.2481676638,0.3534749746,0.3825926781,0.4202382267,0.4240556359,0.383610338,0.3625993133,0.3439500034,0.351011306,0.3422905803,0.3644688427,0.4133701324,0.4173132777,0.3863143623,0.2937164903,0.1725332141
"7,4",0.1366471201,0.1018460542,0.0979339182,0.1008791775,0.1023941785,0.0994820148,0.12371286,0.2174844742,0.3724392056,0.5393208861,0.5861608982,0.6408109665,0.6302966475,0.5812591314,0.5434241295,0.5397616625,0.5552433729,0.5535522699,0.6031290293,0.6517670155,0.6367347836,0.5186466575,0.3669019938,0.2210265696
"7,5",0.1614165604,0.097920157,0.0848618895,0.0769011006,0.0712283179,0.0797912329,0.1176722497,0.2308508754,0.4479608536,0.6996564865,0.6634922624,0.5648815632,0.5267568827,0.505621314,0.4961721897,0.4885674715,0.529440701,0.5987961292,0.7204166651,0.7413952947,0.6714822054,0.4735989273,0.3600589037,0.2611144185
"7,6",0.2073740661,0.1499898434,0.1334945261,0.1146951616,0.1050510779,0.0940201953,0.1383269429,0.3093963861,0.5833221674,0.9299769402,0.8755940199,0.8352445364,0.8223074079,0.8032940626,0.7578727007,0.7578908801,0.7675753832,0.8668140173,1.1763077974,1.1541521549,0.9297740459,0.6585843563,0.4546197653,0.3037941456
"7,7",0.1544371098,0.1091881841,0.0939215571,0.0769192204,0.0659495518,0.0913301855,0.1730997264,0.3713917732,0.6242386103,0.7884540558,0.7415082455,0.7275741696,0.690279603,0.6780338883,0.651375711,0.6240169406,0.6297395229,0.6965793967,0.9213938713,1.0337300301,0.9507862926,0.7449697852,0.4520102739,0.2680851817
"7,8",0.0993477553,0.0830854028,0.0873717517,0.08439897,0.0741538256,0.089771986,0.1002384275,0.156499058,0.2636007071,0.2944930494,0.2923176289,0.2903579473,0.2903302312,0.2775948048,0.2614414692,0.2576065063,0.2357845753,0.286256671,0.3936611414,0.4665100574,0.421823293,0.3217796087,0.2058988214,0.1494341195
"8,1",0.0096037993,0.0099167507,0.0098553067,0.0098553067,0.009893937,0.0100047886,0.0100047886,0.0099878311,0.009737513,0.0098947957,0.0100771077,0.0099503268,0.0095407153,0.0095407153,0.0095391795,0.0095571894,0.0096417349,0.0095503256,0.0093432944,0.0092814881,0.0093116751,0.0092851613,0.0092377495,0.0091341799
"8,2",0.028525345,0.0293199979,0.0315221176,0.0294795092,0.0259524994,0.0257024113,0.0297007635,0.041569382,0.0553459302,0.0618546307,0.06293872,0.0632951632,0.0599232838,0.0542660207,0.0534203872,0.0528429672,0.0544461012,0.0545175634,0.057728678,0.0652657896,0.0668663308,0.0622443184,0.0479985029,0.0352808982
"8,3",0.1065889597,0.1044178158,0.1313909441,0.1275505722,0.1285811365,0.1246901602,0.1580929607,0.2108415961,0.3055853844,0.3682640791,0.3688736856,0.3959655762,0.3872493505,0.350797236,0.3283835053,0.3217138946,0.323921442,0.3400319815,0.38154459,0.4258717597,0.4209724069,0.366211921,0.246502012,0.150556162
"8,4",0.1293515265,0.09412314,0.0889957696,0.0932287574,0.0983803868,0.1217540503,0.1352037936,0.2320892066,0.4132520556,0.5606617332,0.5644241571,0.5953880548,0.5684192181,0.5419096947,0.4870234132,0.4877174497,0.4994168282,0.5098390579,0.5619939566,0.6221255064,0.5890207887,0.4718124568,0.3377601802,0.2068282366
"8,5",0.1486813575,0.0960425735,0.0967600122,0.0915361494,0.0904485732,0.1044427231,0.1279159784,0.2411669493,0.4675474167,0.7692703605,0.5965379477,0.4841936827,0.430888772,0.4148979783,0.3971473575,0.3898055553,0.4116965532,0.4566929638,0.5731477737,0.6380991936,0.5516334772,0.4001393318,0.3111522198,0.217937991
"8,6",0.2007087171,0.1324399412,0.1168893427,0.106417045,0.0958263204,0.0835647434,0.1154500991,0.2275408804,0.4583339095,0.8198593855,0.6608961821,0.5321563482,0.5196560621,0.4907533526,0.4758555293,0.4884095788,0.532237947,0.6196488738,0.8221964836,0.8967517614,0.7641274929,0.5437351465,0.419123888,0.2676766217
"8,7",0.2079077065,0.1830462813,0.1819274127,0.1590123177,0.1234602481,0.1159279197,0.1315598488,0.2455074787,0.4844256639,0.6536254883,0.5497544408,0.5291084051,0.5058511496,0.4686248302,0.4370087385,0.4590318203,0.4524002373,0.5197430253,0.7180559635,0.778511405,0.703168571,0.5666627288,0.3721186519,0.2624803185
"8,8",0.2102401853,0.1946226954,0.1982150376,0.1744746417,0.1403951347,0.1283824146,0.1418759972,0.2605390549,0.4864908457,0.557728827,0.5004432797,0.515421927,0.5158793926,0.4820400178,0.4468417764,0.4498237073,0.4354121089,0.5128318071,0.6531030536,0.7083861232,0.6273139715,0.4781162739,0.330714345,0.2601182461
"8,9",0.1723620296,0.1523452252,0.1661237925,0.1446002275,0.1397036314,0.1089780778,0.1154509783,0.2378060818,0.4198524952,0.4706026316,0.4860983491,0.5119436383,0.5653883219,0.5346741676,0.5074961185,0.4701755047,0.4750416279,0.5553418398,0.6706573963,0.7141438723,0.6024983525,0.4310976863,0.2792172432,0.2196009755
